Genbank Accession,Genetic Information Source,Genus,Species,Virus ('organism name'),Acronym (of organism name),Isolate,Complete or partial genome,Sequence length (bp),Gene,Submitting organisation ,Geogrpahical location sampled,Host,Collection date,Publication DOI,Paper's first author (family name),Paper title,Year paper published ,In vivo or in vitro study,Phylogenetic analysis (yes/no),Platforms and tools (sequencing and other),Notes ,Isolate at ACDP (yes/no),File name,
AB109371,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,1376,MCP (complete cds),"Faculty of Bioresources; Kamihama 1515, Tsu, Mie 514-8507, Japan",Japan,Pagrus major,None given,https://doi.org/10.1007/s00705-002-0883-6,Sudthongkong,"Viral DNA sequences of genes encoding the ATPase and the major capsid protein of tropical iridovirus isolates which are pathogenic to fishes in Japan, South China Sea and Southeast Asian countries",2002,,"Yes,  sequences and analysed DNA sequences encoding ATPase and MCP of iridovirus isolates from a range of fish species. In order to determine a taxonomical position of tropical iridovirus,  DNA sequences of ATPase and MCP were compared with the known nucleotide sequences of members in Ranavirus, Iridovirus and Lymphocystivirus.

Phylogeneic relationships were deduced using the neighbor joining distance using PAUP version 4.0b10. Analysis was done on deduced amino acid alignments o ftheATPase gene-encoding region and the MCP gene-encoding region of the iridovirus isolates and other viruses encompassed in the Family.  ","ThePCRproducts with the 2 primer sets for theATPase gene of DGIV and with 3 primer sets for the MCP gene ofall 5 isolates were EcoRI-HindIII double digested, and ligated with EcoRI-HindIII double digested plasmid vector pUC119. 

The recombinant plasmids were routinely isolated and manipulated. DNA sequencing was carried out using Thermo SequinaseTM cycle sequencing kit and a DNA sequencer, Model 4000L (Li-COR). For each PCR fragments, three to four clones were sequenced to verify replication error","From Genbank:
Length: 1376
Mol Type: DNA
Host: Pagrus major
Isolate: spleen, abdominal cavity
Geo Location: Japan",,,
AB080362,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,Ehime-1 (from Genbank additional info),partial,4640,MCP (complete cds),"Fisheries Research Agency, Virology section, Pathology division; Hiruta 224-1, Watarai-gun Tamaki-cho, Mie 519-0423, Japan",Japan: Ehime,Pagrus major,None given,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: Ehime-1
Length: 4640
Mol Type: DNA
Host: Pagrus major
Geo Location: Japan: Ehime
Submitters Names
Kurita,J., Nakajima,K., Hirono,I., Aoki,T.","Yes (if Ehime-1)

Microstore: 0405-25-1030	
SAN: 03-02083 Provided by Jun Kurita",,
AY154778,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,146,"Ribonucleotide reductase small subunit gene, partial cds","Pukyong National University, Department of Aquatic Life Medicine, South Korea",None given,Oplegnathus fasciatus,None given,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: Sachun
Mol Type: DNA
Host: Oplegnathus fasciatus
Laboratory host: rock bream
Submitters Names
Jeong,J.B., Jun,L.J., Yoo,M.H., Kim,M.S., Komisar,J.L., Jeong,H.D., Jeong,J.-B., Jeong,H.-D.",,,
AY154779,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,527,DNA polymerase (partial cds) ,"Pukyong National University, Department of Aquatic Life Medicine, South Korea",None given,Oplegnathus fasciatus,None given,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Nuc Completeness: partial
Strain: Sachun
Length: 527
Mol Type: DNA
Host: Oplegnathus fasciatus
Laboratory host: rock bream
Submitters Names
Jeong,J.B., Jun,L.J., Yoo,M.H., Kim,M.S., Komisar,J.L., Jeong,H.D., Jeong,J.-B., Jeong,H.-D.",,,
AF487899,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,523,ATPase (partial cds),"Pukyong National University, Department of Aquatic Life Medicine, Korea",None given,None given,None given,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Nuc Completeness: partial
Strain: Sachun
Length: 523
Mol Type: DNA
Submitters Names
Jeong,J.B., Kim,M.S., Yoo,M.H., Jeong,H.D.",,,
AF462338,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,715,IRB5 amplicon (partial cds),"Institute for Animal Disease Prevention and Control in Kaohsiung Taiwan, Fish Disease Laboratory, Taiwan",Japan,Pagrus major,None given,N/A,N/A,N/A,N/A,,N/A,N/A,"Genbank:
Nuc Completeness: partial
Strain: RS010921
Length: 715
Mol Type: DNA
Host: Pagrus major
Geo Location: Japan
Submitters Names
Chen,C.-Y., Lai,Y.-Y., Huang,H.-T., Lin,C.-S., Chao,C.-B.",,,
AF462342,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,1339,CY15 (complete sequence),"Institute for Animal Disease Prevention and Control in Kaohsiung Taiwan, Fish Disease Laboratory, Taiwan",Japan,Pagrus major,None given,N/A,N/A,N/A,N/A,,N/A,N/A,"Genbank:
Strain: RS010921
Length: 1339
Host: Pagrus major
Geo Location: Japan
Submitters Names
Yang,S.-C., Lai,Y.-Y., Chen,C.-Y., Lin,C.-S., Huang,H.-T., Chao,C.-B.",,,
AB018418,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,7141,"Largest subunit of the DNA-dependent RNA polymerase, DNA repair protein RAD2, ribonucleotide reductase small subunit, complete cds","Jun Kurita, National Reseach Institute of Aquaculture, Fish Pathology Division; Nakatsuhamaura 422-1, Nansei, Mie 516-0193, Japan",None given,None given,None given,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:l
Strain: Ehime-1
Submitters Names
Kurita,J., Nakajima,K., Hirono,I., Aoki,T.","Yes
Microstore: 0405-25-1030	
SAN: 03-02083 Provided by Jun Kurita",,
AB006954,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,959,PstI fragment sequence ,"Jun Kurita, National Reseach Institute of Aquaculture, Fish Pathology Division; Nakatsuhamaura 422-1, Nansei, Mie 516-01, Japan",None given,None given,None given,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Nuc Completeness: partial
Strain: Ehime-1
Submitters Names
Kurita,J., Nakajima,K., Hirono,I., Aoki,T.","Yes
Microstore: 0405-25-1030	
SAN: 03-02083 Provided by Jun Kurita",,
AB007366,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,4524,DNA polymerase (complete cds),"Jun Kurita, National Reseach Institute of Aquaculture, Fish Pathology Division; Nakatsuhamaura 422-1, Nansei, Mie 516-01, Japan",None given,None given,None given,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: Ehime-1
Length: 4524
Mol Type: DNA
Submitters Names
Kurita,J., Nakajima,K., Hirono,I., Aoki,T.","Yes
Microstore: 0405-25-1030	
SAN: 03-02083 Provided by Jun Kurita",,
AB007367,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,1515,ATPase (complete cds),"Jun Kurita, National Reseach Institute of Aquaculture, Fish Pathology Division; Nakatsuhamaura 422-1, Nansei, Mie 516-01, Japan",None given,None given,None given,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Nuc Completeness: partial
Strain: Ehime-1
Submitters Names
Kurita,J., Nakajima,K., Hirono,I., Aoki,T.","Yes
Microstore: 0405-25-1030	
SAN: 03-02083 Provided by Jun Kurita",,
KT031401,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Rock bream iridovirus ,Not given,RBIV-HD 2011,partial,1472,MCP (complete cds),"Chonnam National University, Aqualife Medicine",None given,Not given,Not given,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Release date: 2016
Submitters Names
Jung,M.-H., Jung,S.-J.",,,
MN562489,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,SDDV_Thai_2019,complete,131129,N/A,"Kasetsart University, Department of Aquaculture, Thailand",Thailand,Lates calcarifer,2018-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"From Genbank:
Nuc Completeness: complete
Mol Type: DNA
Host: Lates calcarifer
Submitters Names
Kayansamruaj,P.",,MN562489.1,
JX134501,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Rock bream iridovirus ,Not given,RBIV-C1,partial,261,P86 gene (complete cds),"Chinese Academy of Sciences, Institute of Oceanology, China",China,Oplegnathus fasciatus,2009-07,https://doi.org/10.1186/1471-2164-15-878,Zhang,In-depth profiling and analysis of host and viral microRNAs in Japanese flounder (Paralichthys olivaceus) infected with megalocytivirus reveal involvement of microRNAs in host-virus interaction in teleost fish,2014,,N/A,"Sequence analysis was based on the principles described in Methods, section “Analysis of sequencing reads” of the paper.  It's a long complex desciption.","From Genbank:
Nuc Completeness: partial
Length: 261
Mol Type: DNA
Host: Oplegnathus fasciatus
Geo Location: China
Collection Date: 2009-07",,,
JX134502,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Rock bream iridovirus ,Not given,RBIV-C1,partial,1365,P454 gene (complete cds),"Chinese Academy of Sciences, Institute of Oceanology, China",China,Oplegnathus fasciatus,2009-07,https://doi.org/10.1186/1471-2164-15-878,Zhang,In-depth profiling and analysis of host and viral microRNAs in Japanese flounder (Paralichthys olivaceus) infected with megalocytivirus reveal involvement of microRNAs in host-virus interaction in teleost fish,2014,,N/A,"Sequence analysis was based on the principles described in Methods, section “Analysis of sequencing reads” of the paper.  It's a long complex desciption.","From Genbank:
Nuc Completeness: partial
Length: 1365
Mol Type: DNA
Host: Oplegnathus fasciatus
Geo Location: China
Collection Date: 2009-07",,,
JX134503,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Rock bream iridovirus ,Not given,RBIV-C1,partial,675,P224 gene (complete cds),"Chinese Academy of Sciences, Institute of Oceanology, China",China,Oplegnathus fasciatus,2009-07,https://doi.org/10.1186/1471-2164-15-878,Zhang,In-depth profiling and analysis of host and viral microRNAs in Japanese flounder (Paralichthys olivaceus) infected with megalocytivirus reveal involvement of microRNAs in host-virus interaction in teleost fish,2014,,N/A,"Sequence analysis was based on the principles described in Methods, section “Analysis of sequencing reads” of the paper.  It's a long complex desciption.","From Genbank:
Nuc Completeness: partial
Length: 675
Mol Type: DNA
Host: Oplegnathus fasciatus
Geo Location: China
Collection Date: 2009-07",,,
JX134504,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Rock bream iridovirus ,Not given,RBIV-C1,partial,429,P142 gene (complete cds),"Chinese Academy of Sciences, Institute of Oceanology, China",China,Oplegnathus fasciatus,2009-07,https://doi.org/10.1186/1471-2164-15-878,Zhang,In-depth profiling and analysis of host and viral microRNAs in Japanese flounder (Paralichthys olivaceus) infected with megalocytivirus reveal involvement of microRNAs in host-virus interaction in teleost fish,2014,,N/A,"Sequence analysis was based on the principles described in Methods, section “Analysis of sequencing reads” of the paper.  It's a long complex desciption.","From genbank:
Nuc Completeness: partial
Length: 429
Mol Type: DNA
Host: Oplegnathus fasciatus
Geo Location: China
Collection Date: 2009-07",,,
JX134505,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Rock bream iridovirus ,Not given,RBIV-C1,partial,414,P13 gene (complete cds),"Chinese Academy of Sciences, Institute of Oceanology, China",China,Oplegnathus fasciatus,2009-07,https://doi.org/10.1186/1471-2164-15-878,Zhang,In-depth profiling and analysis of host and viral microRNAs in Japanese flounder (Paralichthys olivaceus) infected with megalocytivirus reveal involvement of microRNAs in host-virus interaction in teleost fish,2014,,N/A,"Sequence analysis was based on the principles described in Methods, section “Analysis of sequencing reads” of the paper.  It's a long complex desciption.","From Genbank:
Nuc Completeness: partial
Length: 414
Mol Type: DNA
Host: Oplegnathus fasciatus
Geo Location: China
Collection Date: 2009-07",,,
JF264212,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Rock bream iridovirus ,Not given,RBIV_Tp_45_08,partial,720,ATPase (complete cds),"Animal Health Research Institute, Biology Division, Taiwan",Taiwan,Oplegnathus fasciatus,30/06/1905,https://doi.org/10.1007/s00705-011-1017-9,Huang ,Genetic analysis of fish iridoviruses isolated in Taiwan during 2001-2009,2011,,"Yes - Nucleotide and amino acid sequences were analyzed using the BioEdit 7.0.4 software. Multiple sequences were aligned using the ClustalW program. Phylogenetic relationships among species were determined using the neighbor-joining (NJ) method, and the reliability of the NJ tree was inferred using the Felsenstein bootstrap method with 1000 replications. 
"," The PCR products were cloned into the pGEM-T vector (Promega) and sequenced using an ABI PRISM 377 DNA sequencer with the BigDye Terminator Kit (Applied Biosystems, Inc.). Several independent PCR clones (6-8 clones) were analyzed to produce a consensus nucleotide sequence for each virus isolate.","From Genbank:
Nuc Completeness: partial
Host: Oplegnathus fasciatus
Geo Location: Taiwan
Collection Date: 2008",,,
HQ105005,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Rock bream iridovirus ,Not given,RBIV-C1,partial,1362,MCP (complete cds),"Chinese Academy of Sciences, Institute of Oceanology",China,Oplegnathus fasciatus,2009-07,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Nuc Completeness: partial
Length: 1362
Mol Type: DNA
Host: Oplegnathus fasciatus
Geo Location: China
Collection Date: 2009-07",,,
HQ105006,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Rock bream iridovirus ,Not given,RBIV-C1,partial,720,ATPase (complete cds),"Chinese Academy of Sciences, Institute of Oceanology",China,Oplegnathus fasciatus,2009-07,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Length: 720
Mol Type: DNA
Host: Oplegnathus fasciatus
Geo Location: China
Collection Date: 2009-07
Submitters Names
Zhang,M., Sun,L.",,,
HQ105007,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Rock bream iridovirus ,Not given,RBIV-C1,partial,1011,1CP-46  (complete cds),"Chinese Academy of Sciences, Institute of Oceanology",China,Oplegnathus fasciatus,2009-07,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Length: 1011
Mol Type: DNA
Host: Oplegnathus fasciatus
Geo Location: China
Collection Date: 2009-07
Submitters Names
Zhang,M., Xiao,Z.Z., Hu,Y.H., Sun,L.",,,
JF264352,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Rock bream iridovirus ,Not given,RBIV_Tp_45_08,partial,1362,MCP (complete cds),"Animal Health Research Institute, Biology Division, Taiwan",Taiwan,Oplegnathus fasciatus,30/06/1905,https://doi.org/10.1007/s00705-011-1017-9,Huang ,Genetic analysis of fish iridoviruses isolated in Taiwan during 2001-2009,2011,,"Yes - Nucleotide and amino acid sequences were analyzed using the BioEdit 7.0.4 software. Multiple sequences were aligned using the ClustalW program. Phylogenetic relationships among species were determined using the neighbor-joining (NJ) method, and the reliability of the NJ tree was inferred using the Felsenstein bootstrap method with 1000 replications. Analaysis was done on ATPase and MCP regions. 
"," The PCR products were cloned into the pGEM-T vector (Promega) and sequenced using an ABI PRISM 377 DNA sequencer with the BigDye Terminator Kit (Applied Biosystems, Inc.). Several independent PCR clones (6-8 clones) were analyzed to produce a consensus nucleotide sequence for each virus isolate.","From Genbank:
Nuc Completeness: partial
Length: 1362
Mol Type: DNA
Host: Oplegnathus fasciatus
Geo Location: Taiwan
Collection Date: 2008",,,
AY628698,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Rock bream iridovirus ,Not given,None given,partial,6022,ORF-1 and ORF-2 genes (complete cds),"Pukyong National University, Department of Aquatic Life Medicine, South Korea",None given,Oplegnathus fasciatus,Not given,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: Sachun
Mol Type: DNA
Host: Oplegnathus fasciatus
Laboratory host: rock bream
Submitters Names
Jeong,J.B., Kim,H.Y., Kim,K.H., Chung,J.-K., Komisar,J.L., Jeong,H.D., Jeong,J.-B., Jeong,H.-D.",,,
AY849393,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Rock bream iridovirus ,Not given,CNU-1,partial,1362,MCP (complete cds),"College of Veterinary Medicine, Chonnam National University, South Korea",South Korea,Oplegnathus fasciatus,Not given,10.1111/j.1365-2761.2007.00856.x,Kim,"Expression and serological application of a capsid protein
of an iridovirus isolated from rock bream, Oplegnathus
fasciatus (Temminck & Schlegel)",2007,,None,"The DNA sequencing reactions were
performed in an automated DNA sequencer (ABI
PRISM 3100 Genetic Analyzer, Applied Biosystems, Foster City, CA, USA). 

The sequencing data was assembled and edited using the BLAST method. They found two new capsid protein
coding sequences which were submitted to
GenBank (accession nos AY849393 and
AY849394)."," The aim of this study was to produce a recombinant MCP (rMCP) for the production of an RBIV MCP-specific antibody, which might be used in serological studies of field samples and might be useful as a candidate target for RBIV vaccination.

From Genbank:
Nuc Completeness: partial
Length: 1362
Mol Type: DNA
Host: Oplegnathus fasciatus
Geo Location: South Korea",,,
AY849394,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Rock bream iridovirus ,Not given,CNU-2,partial,1362,MCP (complete cds),"College of Veterinary Medicine, Chonnam National University, South Korea",South Korea,Oplegnathus fasciatus,Not given,10.1111/j.1365-2761.2007.00856.x,Kim,"Expression and serological application of a capsid protein
of an iridovirus isolated from rock bream, Oplegnathus
fasciatus (Temminck & Schlegel)",2007,,None,"The DNA sequencing reactions were
performed in an automated DNA sequencer (ABI
PRISM 3100 Genetic Analyzer, Applied Biosystems, Foster City, CA, USA). 

The sequencing data was assembled and edited using the BLAST method. They found two new capsid protein
coding sequences which were submitted to
GenBank (accession nos AY849393 and
AY849394).","From Genbank:
Nuc Completeness: partial
Host: Oplegnathus fasciatus
Geo Location: South Korea",,,
AY533035,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Rock bream iridovirus ,Not given,RBIV-KOR-TY2,partial,1362,MCP (complete cds),"University of Ulsan, Department of Biological Sciences, Korea",None given,Not given,Not given, 10.1007/s00705-004-0424-6,Do,Sequence variation in the gene encoding the major capsid protein of Korean fish iridoviruses,2005,,The DNA and the deduced amino acid sequences were compared with the GenBank/EMBL databases using BLAST. Sequences were aligned using CLUSTAL W and then the phylogenetic tree was constructed with the TreeView. The phylogenetic relationships among species were determined using the neighbor-joining method] and the reliability of the NJ tree was inferred using the Felsentein bootstrap method with 1000 replicates.,Does not say how sequence analysis was done. ,"From Genbank:
Nuc Completeness: partial
Length: 1362
Mol Type: mRNA",,,
AY532607,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Rock bream iridovirus ,Not given,RBIV-KOR-TY3,partial,1362,MCP (complete cds),"University of Ulsan, Department of Biological Sciences, Korea",None given,Not given,Not given, 10.1007/s00705-004-0424-6,Do,Sequence variation in the gene encoding the major capsid protein of Korean fish iridoviruses,2005,,The DNA and the deduced amino acid sequences were compared with the GenBank/EMBL databases using BLAST. Sequences were aligned using CLUSTAL W and then the phylogenetic tree was constructed with the TreeView. The phylogenetic relationships among species were determined using the neighbor-joining method] and the reliability of the NJ tree was inferred using the Felsentein bootstrap method with 1000 replicates.,Does not say how sequence analysis was done. ,"From Genbank:
Nuc Completeness: partial
Length: 1362
Mol Type: mRNA",,,
